rank,name,composite_score,credibility_score,experience_score,local_activity_score,website,phone_number,num_reviews,avg_review_rating,reviews_last_6_months,google_num_reviews,google_avg_review_rating,bbb_rating,bbb_accreditation,year_first_active,total_months_active,coverage_type,cities,response_rate,months_since_last_review,num_1_star_reviews
1,Clever Offers,78.53312252435,100.0,60.170623626,69.893617021,https://listwithclever.com,(833) 225-3837,4294.0,4.916627853,240.0,491.0,4.763747454,A+,True,2018.0,94.0,Nationwide,,0.8262692129,0.0,57.0
2,TX Cash Home Buyers,76.99839346605859,91.58233597423884,58.2619990045,79.89503769915217,https://www.txcashhomebuyers.com/,(281) 595-7550,47.0,4.723404255,6.0,43.0,4.790697674,A+,True,2019.0,77.0,Statewide,"Abilene, Acres Homes, Alvin, Amarillo, Angleton, Austin, Bacliff, Baytown, Beaumont, Bellaire, Brenham, Bridge City, Brownsville, Channelview, Clear Lake, College Station, Conroe, Corpus Christi, Cypress, Dallas, Deer Park, Dickinson, El Paso, Fort Worth, Fredericksburg, Freeport, Fresno, Friendswood, Frisco, Galena Park, Galveston, Garland, Georgetown, Granbury, Groves, Hillsboro, Houston, Humble, Huntsville, Jersey Village, Katy, Kemah, Killeen, La Marque, La Porte, Lake Jackson, League City, Longview, Lubbock, Lufkin, Magnolia, Midland, Missouri City, Mont Belvieu, Montgomery, Nederland, New Braunfels, Odessa, Orange, Pasadena, Pearland, Port Arthur, Port Neches, Porter, Richmond, Rosenberg, Round Rock, San Angelo, San Antonio, San Marcos, Santa Fe, Spring, Sugar land, Temple, Texas City, The Woodlands, Tomball, Tyler, Waco, Webster, Wimberley",0.8510638298,1.0,3.0
3,Greenlight Offer,74.63421095658062,95.17361700282655,52.579998427,72.647058824,https://www.greenlightoffer.com/,(713) 588-5824,161.0,4.50931677,29.0,158.0,4.525316456,A+,True,2020.0,68.0,Statewide,,0.7391304348,0.0,17.0
4,Big State Home Buyers,74.5996176134,90.0,49.955741999,84.460431655,https://www.bigstatehomebuyers.com/,(713) 322-8803,224.0,4.709821429,18.0,203.0,4.738916256,A+,True,2014.0,139.0,,"Houston, Dallas, San Antonio",0.3258928571,2.0,14.0
5,Ninebird Properties,71.90593693016706,85.71476819524933,62.560975603,62.894752764069324,https://www.ninebp.com/,(972) 996-1839,41.0,4.902439024,3.0,41.0,4.902439024,A+,True,2021.0,55.0,Local,"Addison, Allen, Anna, Argyle, Arlington, Aubrey, Balch Springs, Bedford, Blue Ridge, Carrollton, Cedar Hill, Celina, Cockrell Hill, Colleyville, Coppell, Crandall, Dallas, Denton, Desoto, Double Oak, Duncanville, Euless, Fairview, Farmers Branch, Farmersville, Flower Mound, Forney, Fort Worth, Frisco, Garland, Glenn Heights, Grand Prairie, Grapevine, Greenville, Haltom City, Howe, Hurst, Hutchins, Irving, Justin, Kaufman, Keller, Krum, Lake Dallas, Lancaster, Lantana, Lewisville, Little Elm, Lucas, McKinney, Melissa, Mesquite, North Richland Hills, Northlake, Oak Point, Pilot Point, Plano, Princeton, Prosper, Providence Village, Red Oak, Richardson, Richland Hills, Roanoke, Rockwall, Rowlett, Royse City, Sachse, Sanger, Seagoville, Southlake, Sunnyvale, Terrell, The Colony., Trophy Club, Van Alstyne, Wilmer, Wylie",0.9512195122,5.0,1.0
6,Texas Best,70.46113093991502,77.23047965261593,60.964452211,72.9255232200746,https://www.texasbesthomebuyers.com/?utm_source=gmb&utm_medium=organic,(817) 808-4911,44.0,4.909090909,4.0,39.0,4.897435897,A+,True,2021.0,60.0,,"North Richland Hills, Watauga, Hurst, Haltom City, Bedford, Keller, Richland Hills, Euless, Arlington, Saginaw",0.8409090909,1.0,1.0
7,Metroplex Homebuyers,69.96407944440848,88.6516659130352,55.2356589175,60.68372983227762,https://metroplexhomebuyers.com/,(972) 487-7653,150.0,4.826666667,2.0,129.0,4.860465116,A+,False,2014.0,140.0,Local,"Addison, Allen, Anna, Aubrey, Azle, Arlington, Balch Springs, Bedford, Benbrook, Burleson, Carrollton, Cedar Hill, Celina, Cleburne, Colleyville, Coppell, Corinth, Crowley, Dallas, Denton, DeSoto, Duncanville, Ennis, Euless, Farmers Branch, Flower Mound, Forest Hill, Forney, Fort Worth, Frisco, Garland, Glenn Heights, Grapevine, Greenville, Grand Prairie, Irving, Haltom City, Highland Village, Hurst, Justin, Keller, Lancaster, Little Elm, Lewisville, Mansfield, Midlothian, Mineral Wells, Murphy, Mckinney, Mesquite, North Richland Hills, Plano, Prosper, Red Oak, Rockwall, Rowlett, Royse City, Richardson, Sachse, Saginaw, Seagoville, Sherman, Southlake, Terrell, The Colony, Trophy Club, Watauga, Waxahachie, Weatherford, White Settlement, Wylie",0.54,4.0,5.0
8,TX Home Buying Pros,69.60833593076458,76.72937003909664,60.3125,71.22885166050372,http://www.txhomebuyingpros.com/,(214) 296-2343,48.0,5.0,6.0,47.0,5.0,A,True,2024.0,23.0,Local,"Allen, Arlington, Balch Springs, Carrollton, Cedar Hill, Colleyville, Coppell, Dallas, Denton, Desoto, Duncanville, Euless, Farmers Branch, Flower Mound, Fort Worth, Frisco, Garland, Grand Prairie, Grapevine, Haltom City, Hurst, Irving, Keller, Lancaster, Lewisville, Mansfield, McKinney, Mesquite, North Richland Hills, Plano, Richardson, Rowlett, Sachse, Southlake, The Colony, Wylie",0.6875,0.0,0.0
9,Starfish Group Properties,69.35854688632034,72.36904785749283,64.1428571435,71.84371097239284,https://www.starfishgroupproperties.com/,(817) 859-6677,35.0,5.0,8.0,23.0,5.0,A+,True,2022.0,44.0,Local,"Arlington, Bedford, Dallas, Euless, Fort Worth, Haltom City, Hurst, Keller, North Richland Hills, Richland Hills, Saginaw, Watauga, Wedgwood",0.9428571429,0.0,0.0
10,Orchard,68.36010793038334,88.33333333333334,40.790784563,75.0,https://Orchard.com,(844) 515-9880,803.0,4.353673724,73.0,,,A+,True,2019.0,77.0,,"Austin, Dallas, Ft. Worth, Houston, San Antonio",0.4246575342,0.0,101.0
